locality_id,suburb_name,locality_class,state,lat,lon
loc5806a5235e78,Bearii,Gazetted Locality,VIC,-35.884416,145.342491
loc0b2a40dc4dff,Bears Lagoon,Gazetted Locality,VIC,-36.338335,143.951255
loc737febad85c1,Beauchamp,Gazetted Locality,VIC,-35.639419,143.617262
loc46a1462d7b96,Beaufort,Gazetted Locality,VIC,-37.440317,143.337474
loce237bfb5fc0e,Beaumaris,Gazetted Locality,VIC,-37.983593,145.038215
loc6849a6dc28d8,Beazleys Bridge,Gazetted Locality,VIC,-36.708698,143.147234
loc69b03d2ebc3c,Beeac,Gazetted Locality,VIC,-38.178487,143.63311
locb7bca082fca0,Beech Forest,Gazetted Locality,VIC,-38.635699,143.602265
loc2bbd81287570,Beechworth,Gazetted Locality,VIC,-36.3339,146.672807
locb1503c8e1989,Beenak,Gazetted Locality,VIC,-37.900395,145.636513
loc8230c2a8625c,Belgrave,Gazetted Locality,VIC,-37.91207,145.353896
locf40bda10826e,Belgrave Heights,Gazetted Locality,VIC,-37.92582,145.343365
locb281644d861d,Belgrave South,Gazetted Locality,VIC,-37.942173,145.355816
loc8585329cc409,Bell Park,Gazetted Locality,VIC,-38.10622,144.33836
locc08b3f37ebf5,Bell Post Hill,Gazetted Locality,VIC,-38.096313,144.319746
loc8bbe850fb3d2,Bellarine,Gazetted Locality,VIC,-38.132016,144.622072
loc1e588c515677,Bellbird Creek,Gazetted Locality,VIC,-37.63576,148.816494
locb4db14713fd7,Bellbrae,Gazetted Locality,VIC,-38.343492,144.242344
loc9a08b3bda5f7,Bellbridge,Gazetted Locality,VIC,-36.098171,147.058598
locd3c522b5c415,Bellellen,Gazetted Locality,VIC,-37.135436,142.693903
loc42979bc97c35,Bellfield,Gazetted Locality,VIC,-37.752947,145.038729
loce9efa5a9608b,Bellfield,Gazetted Locality,VIC,-37.227637,142.484082
loca7762c5bab25,Bells Beach,Gazetted Locality,VIC,-38.376987,144.251847
loc315bbea2e96e,Belmont,Gazetted Locality,VIC,-38.18005,144.343888
loc8b205223941d,Bemm River,Gazetted Locality,VIC,-37.716558,148.928705
loc9214f734f5e9,Bena,Gazetted Locality,VIC,-38.432368,145.740002
locff58d0167065,Benalla,Gazetted Locality,VIC,-36.570733,145.991051
locb6fe7c8c5fcf,Benambra,Gazetted Locality,VIC,-36.889163,147.801706
loc8fc20a19bc7c,Benayeo,Gazetted Locality,VIC,-36.842536,141.04283
loc71aec204b2b5,Bend of Islands,Gazetted Locality,VIC,-37.700496,145.277841
loce6098ac5df0c,Bendigo,Gazetted Locality,VIC,-36.755474,144.280868
loc77508b58c35b,Bendoc,Gazetted Locality,VIC,-37.18859,148.89081
loccdbf64bdb7a5,Bengworden,Gazetted Locality,VIC,-37.97442,147.439196
locf566612a5c2b,Benjeroop,Gazetted Locality,VIC,-35.49035,143.840869
loc25025363e687,Benloch,Gazetted Locality,VIC,-37.201265,144.675511
loc6bc38c38afda,Bennison,Gazetted Locality,VIC,-38.66616,146.269166
locd8470b65d64b,Bentleigh,Gazetted Locality,VIC,-37.922781,145.037811
loc89cee4954cc2,Bentleigh East,Gazetted Locality,VIC,-37.922227,145.066912
loc52b530498621,Benwerrin,Gazetted Locality,VIC,-38.491342,143.895686
