suburb_name,state,lat,lon,postcode
BELMONT,VIC,-38.18005,144.343888,3216.0
BEMM RIVER,VIC,-37.716558,148.928705,3889.0
BENA,VIC,-38.432368,145.740002,3946.0
BENALLA,VIC,-36.570733,145.991051,3671.0
BENALLA,VIC,-36.570733,145.991051,3672.0
BENALLA,VIC,-36.570733,145.991051,3671.0
BENALLA,VIC,-36.570733,145.991051,3672.0
BENAMBRA,VIC,-36.889163,147.801706,3900.0
BENAMBRA,VIC,-36.889163,147.801706,3900.0
BENAYEO,VIC,-36.842536,141.04283,3319.0
BENAYEO,VIC,-36.842536,141.04283,3319.0
BEND OF ISLANDS,VIC,-37.700496,145.277841,3097.0
BEND OF ISLANDS,VIC,-37.700496,145.277841,3097.0
BENDIGO,VIC,-36.755474,144.280868,3550.0
BENDIGO,VIC,-36.755474,144.280868,3552.0
BENDOC,VIC,-37.18859,148.89081,3888.0
BENGWORDEN,VIC,-37.97442,147.439196,3875.0
BENJEROOP,VIC,-35.49035,143.840869,3579.0
BENLOCH,VIC,-37.201265,144.675511,3435.0
BENNISON,VIC,-38.66616,146.269166,3960.0
BENTLEIGH,VIC,-37.922781,145.037811,3204.0
BENTLEIGH EAST,VIC,-37.922227,145.066912,3165.0
BENTLEIGH EAST,VIC,-37.922227,145.066912,3165.0
BENWERRIN,VIC,-38.491342,143.895686,3235.0
BEREMBOKE,VIC,-37.787938,144.217977,3342.0
BERRIMAL,VIC,-36.49819,143.475647,3518.0
BERRIMAL,VIC,-36.49819,143.475647,3518.0
BERRIMAL,VIC,-36.49819,143.475647,3518.0
BERRINGA,VIC,-37.771399,143.668992,3351.0
BERRINGA,VIC,-37.771399,143.668992,3351.0
BERRINGAMA,VIC,-36.198212,147.651824,3691.0
BERRINGAMA,VIC,-36.198212,147.651824,3691.0
BERRINGAMA,VIC,-36.198212,147.651824,3691.0
BERRIWILLOCK,VIC,-35.644363,142.961112,3531.0
BERRIWILLOCK,VIC,-35.644363,142.961112,3531.0
BERRYBANK,VIC,-37.969202,143.501777,3323.0
BERRYBANK,VIC,-37.969202,143.501777,3323.0
BERRYS CREEK,VIC,-38.41276,146.067908,3953.0
BERRYS CREEK,VIC,-38.41276,146.067908,3953.0
BERWICK,VIC,-38.042064,145.344298,3806.0
BESSIEBELLE,VIC,-38.149336,141.931294,3304.0
BET BET,VIC,-36.923698,143.749725,3472.0
BETE BOLONG,VIC,-37.688337,148.297236,3888.0
BETE BOLONG NORTH,VIC,-37.595611,148.293903,3888.0
BETE BOLONG NORTH,VIC,-37.595611,148.293903,3888.0
BETHANGA,VIC,-36.151958,147.116253,3691.0
BETLEY,VIC,-36.917726,143.794426,3472.0
BEULAH,VIC,-35.921568,142.420058,3395.0
BEVERFORD,VIC,-35.221575,143.479464,3590.0
BEVERIDGE,VIC,-37.475602,144.974244,3753.0
BIG DESERT,VIC,-35.641709,141.480128,3490.0
BIG HILL,VIC,-36.836486,144.232217,3231.0
BIG HILL,VIC,-36.836486,144.232217,3555.0
BIG HILL,VIC,-38.479458,144.00921,3231.0
BIG HILL,VIC,-38.479458,144.00921,3555.0
BIG PATS CREEK,VIC,-37.767596,145.760023,3799.0
BIGGARA,VIC,-36.342073,148.012304,3707.0
BIGGARA,VIC,-36.342073,148.012304,3707.0
BILLABONG,VIC,-37.251516,146.816983,3858.0
