LOC_PID,LOC_NAME,LOC_CLASS,STATE,lat,lon
loc4ce426882fb2,Bayindeen,Gazetted Locality,VIC,-37.30334414709699,143.18304429984846
loc9e030c68a944,Bayles,Gazetted Locality,VIC,-38.17727431702315,145.5759678735472
loc466d0093284d,Baynton,Gazetted Locality,VIC,-37.13766950817065,144.64963811933902
loc1949fc383925,Baynton East,Gazetted Locality,VIC,-37.12342616035897,144.71292919170577
loc2f9c80de6f7d,Bayswater,Gazetted Locality,VIC,-37.846287930102406,145.2662071477106
loc9165cd64854f,Bayswater North,Gazetted Locality,VIC,-37.82558688963352,145.2840737662167
locfb463ae5ac4b,Beaconsfield,Gazetted Locality,VIC,-38.039648857201996,145.38067030160758
loc88487743ffc5,Beaconsfield Upper,Gazetted Locality,VIC,-37.998514917386174,145.4254126253552
loc639d23ea6a14,Bealiba,Gazetted Locality,VIC,-36.76874946234512,143.5565188009411
loc5806a5235e78,Bearii,Gazetted Locality,VIC,-35.88441635348337,145.34249109080127
loc0b2a40dc4dff,Bears Lagoon,Gazetted Locality,VIC,-36.33833526592245,143.95125467524304
loc737febad85c1,Beauchamp,Gazetted Locality,VIC,-35.63941873475507,143.61726215619734
loc46a1462d7b96,Beaufort,Gazetted Locality,VIC,-37.44031699366051,143.3374738753907
loce237bfb5fc0e,Beaumaris,Gazetted Locality,VIC,-37.98359267163877,145.03821498488034
loc6849a6dc28d8,Beazleys Bridge,Gazetted Locality,VIC,-36.708697714236884,143.14723367201213
loc69b03d2ebc3c,Beeac,Gazetted Locality,VIC,-38.1784873738722,143.63311005432678
locb7bca082fca0,Beech Forest,Gazetted Locality,VIC,-38.63569908870103,143.6022649754904
loc2bbd81287570,Beechworth,Gazetted Locality,VIC,-36.33390044992679,146.67280674354618
locb1503c8e1989,Beenak,Gazetted Locality,VIC,-37.90039511989013,145.63651284370482
loc8230c2a8625c,Belgrave,Gazetted Locality,VIC,-37.91206989254257,145.35389611891864
locf40bda10826e,Belgrave Heights,Gazetted Locality,VIC,-37.92581975222706,145.34336509908167
